epoch,train_loss,val_loss,val_accuracy
0.000000000000000000e+00,2.106090553053938219e+00,2.106269627630433572e+00,4.028169014084507227e-01
1.000000000000000000e+00,1.961591512751827304e+00,1.960120981454513966e+00,6.281690140845070935e-01
2.000000000000000000e+00,1.831565223833186540e+00,1.828592750614760121e+00,7.098591549295775183e-01
3.000000000000000000e+00,1.713952479766704062e+00,1.709887576238139806e+00,7.464788732394366244e-01
4.000000000000000000e+00,1.607612716060776714e+00,1.602652431916657738e+00,7.887323943661971315e-01
5.000000000000000000e+00,1.511635757930587909e+00,1.505502238885022992e+00,8.338028169014084501e-01
6.000000000000000000e+00,1.424671619153121682e+00,1.417737370855924217e+00,8.478873239436619524e-01
7.000000000000000000e+00,1.346377107245466886e+00,1.338360073248985094e+00,8.535211267605633534e-01
8.000000000000000000e+00,1.275497810060900461e+00,1.266727067102972892e+00,8.704225352112675562e-01
9.000000000000000000e+00,1.211369182301566649e+00,1.202160491079467874e+00,8.816901408450704691e-01
1.000000000000000000e+01,1.153015173247060821e+00,1.143300055715817054e+00,8.901408450704225706e-01
1.100000000000000000e+01,1.100058242892315574e+00,1.089735188456198101e+00,8.929577464788732710e-01
1.200000000000000000e+01,1.052203301520592493e+00,1.041375144891231397e+00,9.014084507042253724e-01
1.300000000000000000e+01,1.008143768080766112e+00,9.972248588749348386e-01,9.042253521126760729e-01
1.400000000000000000e+01,9.679211962823320858e-01,9.567855648947645175e-01,9.014084507042253724e-01
1.500000000000000000e+01,9.309890163984847478e-01,9.191770465029528436e-01,8.985915492957746720e-01
1.600000000000000000e+01,8.970930558001189992e-01,8.852698919504095043e-01,9.042253521126760729e-01
1.700000000000000000e+01,8.659166910149600493e-01,8.538946059381039566e-01,9.042253521126760729e-01
1.800000000000000000e+01,8.369723557253236912e-01,8.248227492759373503e-01,9.042253521126760729e-01
1.900000000000000000e+01,8.102362260208936240e-01,7.983392846336845317e-01,9.042253521126760729e-01
2.000000000000000000e+01,7.854450897584571711e-01,7.735151733617603442e-01,9.014084507042253724e-01
2.100000000000000000e+01,7.623647996320651599e-01,7.504407575611232728e-01,9.042253521126760729e-01
2.200000000000000000e+01,7.408754915310227229e-01,7.289244166405092207e-01,9.070422535211267734e-01
2.300000000000000000e+01,7.207324169137294678e-01,7.088942853317817816e-01,9.042253521126760729e-01
2.400000000000000000e+01,7.019012507989083050e-01,6.898357217747168590e-01,9.070422535211267734e-01
2.500000000000000000e+01,6.842724707060844347e-01,6.721881879043295482e-01,9.070422535211267734e-01
2.600000000000000000e+01,6.677162252962132172e-01,6.557862422801735702e-01,9.070422535211267734e-01
