epoch,train_loss,val_loss,val_accuracy
0.000000000000000000e+00,2.205060404514092465e+00,2.213530265926954232e+00,1.577464788732394485e-01
1.000000000000000000e+00,2.043924164319971037e+00,2.049526998092496388e+00,4.591549295774647876e-01
2.000000000000000000e+00,1.905679173187248665e+00,1.909472655182453016e+00,6.591549295774647987e-01
3.000000000000000000e+00,1.781300924214347603e+00,1.783613383833847488e+00,7.549295774647887258e-01
4.000000000000000000e+00,1.668524959382574391e+00,1.669310324384224886e+00,8.028169014084507449e-01
5.000000000000000000e+00,1.566744794440605659e+00,1.565574606827244475e+00,8.309859154929577496e-01
6.000000000000000000e+00,1.474594997885707581e+00,1.472276782550734131e+00,8.647887323943661553e-01
7.000000000000000000e+00,1.391455167682626781e+00,1.388214699039499234e+00,8.788732394366197687e-01
8.000000000000000000e+00,1.316112348857831460e+00,1.311863601639273069e+00,8.816901408450704691e-01
9.000000000000000000e+00,1.248181719602672102e+00,1.243302097542194895e+00,8.845070422535211696e-01
1.000000000000000000e+01,1.186567434464616877e+00,1.180842202683333619e+00,8.901408450704225706e-01
1.100000000000000000e+01,1.130602749141144781e+00,1.124056099540284182e+00,8.873239436619718701e-01
1.200000000000000000e+01,1.079773117130299109e+00,1.072608888774742919e+00,8.901408450704225706e-01
1.300000000000000000e+01,1.033533936519439145e+00,1.025903543148686481e+00,8.901408450704225706e-01
1.400000000000000000e+01,9.911911624353202388e-01,9.831542379713460456e-01,8.929577464788732710e-01
1.500000000000000000e+01,9.524063465183348898e-01,9.437829340091229424e-01,8.929577464788732710e-01
1.600000000000000000e+01,9.168749692194173573e-01,9.077791476729134557e-01,8.957746478873239715e-01
1.700000000000000000e+01,8.841658408170093297e-01,8.748381498266653011e-01,8.929577464788732710e-01
1.800000000000000000e+01,8.540104922078863847e-01,8.443721451511770892e-01,8.929577464788732710e-01
1.900000000000000000e+01,8.261273514581918276e-01,8.160328429981336118e-01,8.929577464788732710e-01
2.000000000000000000e+01,8.002397393413932525e-01,7.899915087825213345e-01,8.929577464788732710e-01
2.100000000000000000e+01,7.762667544221931726e-01,7.658377627925946340e-01,8.929577464788732710e-01
2.200000000000000000e+01,7.538956855674046054e-01,7.434740216745486796e-01,8.929577464788732710e-01
2.300000000000000000e+01,7.330097046254300253e-01,7.224162393908724056e-01,8.929577464788732710e-01
2.400000000000000000e+01,7.135258994099124008e-01,7.026487948279129814e-01,8.957746478873239715e-01
2.500000000000000000e+01,6.952123617186168891e-01,6.843949166068736822e-01,8.957746478873239715e-01
2.600000000000000000e+01,6.780990993025965974e-01,6.672282690275317396e-01,8.985915492957746720e-01
2.700000000000000000e+01,6.620192296944255039e-01,6.511091426499758805e-01,8.985915492957746720e-01
2.800000000000000000e+01,6.468451228141847142e-01,6.359044617304927538e-01,9.014084507042253724e-01
2.900000000000000000e+01,6.325096295475483021e-01,6.214979383555064851e-01,9.014084507042253724e-01
3.000000000000000000e+01,6.189497654268919513e-01,6.077935229480194712e-01,9.014084507042253724e-01
3.100000000000000000e+01,6.061936922854895826e-01,5.949942938409837900e-01,9.042253521126760729e-01
3.200000000000000000e+01,5.940549087838025155e-01,5.828362136639178015e-01,9.042253521126760729e-01
3.300000000000000000e+01,5.825399421809497325e-01,5.713724688206655022e-01,9.070422535211267734e-01
3.400000000000000000e+01,5.715944154984922143e-01,5.604200489072101998e-01,9.098591549295774739e-01
3.500000000000000000e+01,5.612346295260508544e-01,5.501356459702904100e-01,9.098591549295774739e-01
3.600000000000000000e+01,5.513213485325896279e-01,5.402295027140020522e-01,9.126760563380281743e-01
3.700000000000000000e+01,5.418467527775322479e-01,5.308808754030041044e-01,9.126760563380281743e-01
3.800000000000000000e+01,5.328045470245305060e-01,5.218887152405263796e-01,9.098591549295774739e-01
3.900000000000000000e+01,5.241370817565784712e-01,5.131358057463611955e-01,9.126760563380281743e-01
4.000000000000000000e+01,5.158814657689873018e-01,5.048886987349666677e-01,9.154929577464788748e-01
4.100000000000000000e+01,5.079777004095296089e-01,4.969477344911020222e-01,9.154929577464788748e-01
4.200000000000000000e+01,5.003477615302862613e-01,4.894691627244157628e-01,9.154929577464788748e-01
4.300000000000000000e+01,4.930586976344507044e-01,4.821893666041539572e-01,9.154929577464788748e-01
4.400000000000000000e+01,4.860865962228874126e-01,4.751585757132659182e-01,9.183098591549295753e-01
4.500000000000000000e+01,4.793608538999310498e-01,4.685237541563849195e-01,9.183098591549295753e-01
4.600000000000000000e+01,4.729201705065169681e-01,4.620833441589232149e-01,9.183098591549295753e-01
4.700000000000000000e+01,4.666366723792360616e-01,4.560799803797355723e-01,9.211267605633802757e-01
4.800000000000000000e+01,4.606076527638698348e-01,4.500520890162644227e-01,9.211267605633802757e-01
4.900000000000000000e+01,4.548090537422202484e-01,4.443119678043009335e-01,9.211267605633802757e-01
5.000000000000000000e+01,4.492162409380238697e-01,4.387427634102035179e-01,9.211267605633802757e-01
5.100000000000000000e+01,4.438125446428102250e-01,4.333694626533381999e-01,9.211267605633802757e-01
5.200000000000000000e+01,4.385930395879008570e-01,4.283704141236417962e-01,9.211267605633802757e-01
5.300000000000000000e+01,4.335308603437474928e-01,4.232032114391326982e-01,9.211267605633802757e-01
5.400000000000000000e+01,4.286664896540869352e-01,4.184618188916069403e-01,9.211267605633802757e-01
5.500000000000000000e+01,4.239003456399184078e-01,4.137821420042782083e-01,9.211267605633802757e-01
5.600000000000000000e+01,4.193240830912263739e-01,4.092978069445465938e-01,9.211267605633802757e-01
5.700000000000000000e+01,4.148645906395383998e-01,4.050263634854404105e-01,9.239436619718309762e-01
5.800000000000000000e+01,4.105498738135275327e-01,4.006482570973169954e-01,9.239436619718309762e-01
5.900000000000000000e+01,4.063629988209900845e-01,3.966452380510451792e-01,9.239436619718309762e-01
6.000000000000000000e+01,4.022947529027342539e-01,3.926255204290047818e-01,9.267605633802816767e-01
6.100000000000000000e+01,3.983528847817203178e-01,3.887215616393032702e-01,9.267605633802816767e-01
6.200000000000000000e+01,3.945302926313049019e-01,3.849312057156943356e-01,9.267605633802816767e-01
6.300000000000000000e+01,3.907925967562934089e-01,3.812921578145382351e-01,9.267605633802816767e-01
6.400000000000000000e+01,3.871607677979594375e-01,3.778080931056795322e-01,9.267605633802816767e-01
6.500000000000000000e+01,3.836289855554957384e-01,3.743760700308743639e-01,9.267605633802816767e-01
6.600000000000000000e+01,3.802050481895299372e-01,3.711051885582272725e-01,9.267605633802816767e-01
6.700000000000000000e+01,3.768565035960089737e-01,3.678355632293681121e-01,9.267605633802816767e-01
6.800000000000000000e+01,3.735853459670808729e-01,3.645361634399136852e-01,9.267605633802816767e-01
6.900000000000000000e+01,3.704106694801467259e-01,3.614988127480207036e-01,9.267605633802816767e-01
7.000000000000000000e+01,3.673004052561816835e-01,3.585003073390929940e-01,9.323943661971830776e-01
7.100000000000000000e+01,3.642815077126130840e-01,3.555436532684234097e-01,9.323943661971830776e-01
7.200000000000000000e+01,3.613399485346541762e-01,3.526292319919643869e-01,9.323943661971830776e-01
7.300000000000000000e+01,3.584627778312707291e-01,3.497706057547824710e-01,9.323943661971830776e-01
7.400000000000000000e+01,3.556342677055827073e-01,3.470730904577319920e-01,9.323943661971830776e-01
7.500000000000000000e+01,3.528914267758467838e-01,3.443706704498555871e-01,9.323943661971830776e-01
