epoch,train_loss,val_loss,val_accuracy
0.000000000000000000e+00,2.993871062230493152e-01,3.319177339104836255e-01,8.901408450704225706e-01
1.000000000000000000e+00,1.320698331853436547e-01,1.620250586096345924e-01,9.352112676056337781e-01
2.000000000000000000e+00,9.857500571259199262e-02,1.427944410553812493e-01,9.521126760563379809e-01
3.000000000000000000e+00,5.559962613582196400e-02,1.053534834403543619e-01,9.605633802816901934e-01
4.000000000000000000e+00,5.337551816213732120e-02,1.016617446361911120e-01,9.661971830985915943e-01
5.000000000000000000e+00,4.929331378050869072e-02,1.058421934631508660e-01,9.577464788732393819e-01
6.000000000000000000e+00,1.650659340889656934e-01,1.920456977503284812e-01,9.352112676056337781e-01
7.000000000000000000e+00,6.497034113781610665e-02,9.563496324339372523e-02,9.549295774647886814e-01
8.000000000000000000e+00,5.063274006525991106e-02,9.263359859192747681e-02,9.605633802816901934e-01
9.000000000000000000e+00,4.240710221540809621e-02,7.909776057443414221e-02,9.774647887323943962e-01
1.000000000000000000e+01,5.458364375508845817e-02,7.193912960378742727e-02,9.690140845070422948e-01
1.100000000000000000e+01,5.100752521303510145e-02,1.167528507541614746e-01,9.633802816901408939e-01
1.200000000000000000e+01,3.922756231214081374e-02,6.416489718811575760e-02,9.718309859154929953e-01
1.300000000000000000e+01,3.639024986243737103e-02,6.420579065682271991e-02,9.690140845070422948e-01
1.400000000000000000e+01,3.411035440314836437e-02,7.131765542595221163e-02,9.774647887323943962e-01
1.500000000000000000e+01,3.178262154619898583e-02,5.832648725151805963e-02,9.774647887323943962e-01
1.600000000000000000e+01,3.077864813158959559e-02,6.572781997519061559e-02,9.774647887323943962e-01
1.700000000000000000e+01,2.996719676540382515e-02,6.678752847704483298e-02,9.774647887323943962e-01
1.800000000000000000e+01,2.908140510893761702e-02,6.286379313450599082e-02,9.774647887323943962e-01
1.900000000000000000e+01,2.834983202923216372e-02,7.160399233606754010e-02,9.746478873239436957e-01
2.000000000000000000e+01,2.777463854097801665e-02,7.256835394144571516e-02,9.746478873239436957e-01
2.100000000000000000e+01,2.722683706862844000e-02,6.609539649945035678e-02,9.774647887323943962e-01
2.200000000000000000e+01,2.716227039843438495e-02,6.540134398175466435e-02,9.718309859154929953e-01
2.300000000000000000e+01,2.670374395261625525e-02,7.745799333010133791e-02,9.774647887323943962e-01
2.400000000000000000e+01,2.631850349597314800e-02,7.696583410539115100e-02,9.802816901408450967e-01
2.500000000000000000e+01,2.580749606924040776e-02,7.313898739791983850e-02,9.746478873239436957e-01
2.600000000000000000e+01,2.570789495114771117e-02,7.842046822559459174e-02,9.774647887323943962e-01
2.700000000000000000e+01,2.583724858317478640e-02,6.593558144871229654e-02,9.746478873239436957e-01
2.800000000000000000e+01,2.701642616183491663e-02,1.001010468318612179e-01,9.661971830985915943e-01
2.900000000000000000e+01,2.756333022618846079e-02,5.780340414014452366e-02,9.690140845070422948e-01
3.000000000000000000e+01,4.688559661793190864e-02,8.661743372095180582e-02,9.690140845070422948e-01
3.100000000000000000e+01,6.514611239518569574e-02,1.896206691023090141e-01,9.464788732394365800e-01
3.200000000000000000e+01,9.252468073196835896e-02,1.569864777221381957e-01,9.323943661971830776e-01
3.300000000000000000e+01,7.619121011627544293e-02,1.361799641040357944e-01,9.605633802816901934e-01
3.400000000000000000e+01,9.132366228844436551e-02,1.186584590789515892e-01,9.549295774647886814e-01
3.500000000000000000e+01,6.850338452578992599e-02,1.066047820330247725e-01,9.661971830985915943e-01
3.600000000000000000e+01,6.535669738242021187e-02,1.002623688947761466e-01,9.605633802816901934e-01
3.700000000000000000e+01,6.088187804406237219e-02,1.222465906776541295e-01,9.774647887323943962e-01
3.800000000000000000e+01,7.109939579034420254e-02,1.699365232260916792e-01,9.549295774647886814e-01
3.900000000000000000e+01,6.732811741618760504e-02,9.425911102213400949e-02,9.661971830985915943e-01
4.000000000000000000e+01,6.283992433277856005e-02,1.181379507775081467e-01,9.605633802816901934e-01
4.100000000000000000e+01,5.272417396494368663e-02,6.579342446898585328e-02,9.718309859154929953e-01
4.200000000000000000e+01,6.063567407736535769e-02,7.366552777838279720e-02,9.746478873239436957e-01
4.300000000000000000e+01,4.925427614259081377e-02,8.762513311131947535e-02,9.746478873239436957e-01
4.400000000000000000e+01,4.747229517421794331e-02,7.903629397993496009e-02,9.774647887323943962e-01
4.500000000000000000e+01,4.652305524370389106e-02,1.178015639852688229e-01,9.690140845070422948e-01
4.600000000000000000e+01,4.353887904413134002e-02,1.025295846040242265e-01,9.690140845070422948e-01
4.700000000000000000e+01,4.148168077836456025e-02,9.836073822436347536e-02,9.746478873239436957e-01
4.800000000000000000e+01,3.970149250306816840e-02,1.005867066704126955e-01,9.661971830985915943e-01
4.900000000000000000e+01,3.808263789652628628e-02,9.536916080089340164e-02,9.718309859154929953e-01
5.000000000000000000e+01,3.663724945256631449e-02,9.393530187208763704e-02,9.690140845070422948e-01
5.100000000000000000e+01,3.532713081341560396e-02,9.092930210156373316e-02,9.690140845070422948e-01
5.200000000000000000e+01,3.413111490774287798e-02,8.813697480840972098e-02,9.661971830985915943e-01
5.300000000000000000e+01,3.303793244267431289e-02,8.747655875249402135e-02,9.661971830985915943e-01
5.400000000000000000e+01,3.206031004289636166e-02,8.556019828580381514e-02,9.690140845070422948e-01
5.500000000000000000e+01,3.113895713081422933e-02,8.374245319646751728e-02,9.661971830985915943e-01
5.600000000000000000e+01,3.029480913389062668e-02,8.230404142859656935e-02,9.661971830985915943e-01
5.700000000000000000e+01,2.950600642174424845e-02,7.995615997005647846e-02,9.661971830985915943e-01
5.800000000000000000e+01,2.883450371247055569e-02,8.129219357498897180e-02,9.661971830985915943e-01
5.900000000000000000e+01,2.820483742838501146e-02,7.599452613371179832e-02,9.690140845070422948e-01
6.000000000000000000e+01,2.776458664118739914e-02,7.645188157002369422e-02,9.718309859154929953e-01
6.100000000000000000e+01,2.711520552721907035e-02,7.257181445210768300e-02,9.718309859154929953e-01
6.200000000000000000e+01,2.660631522446393546e-02,7.528336368743619722e-02,9.690140845070422948e-01
6.300000000000000000e+01,2.612733258644035772e-02,8.057809773402890841e-02,9.718309859154929953e-01
