epoch,train_loss,val_loss,val_accuracy
0.000000000000000000e+00,6.298728832746890438e-01,6.317406254936522858e-01,8.750000000000000000e-01
1.000000000000000000e+00,5.902845008760856382e-01,5.901375288423472698e-01,9.000000000000000222e-01
2.000000000000000000e+00,5.565618523977476917e-01,5.547891248914669227e-01,9.124999999999999778e-01
3.000000000000000000e+00,5.276777429405378195e-01,5.245877748805848340e-01,9.124999999999999778e-01
4.000000000000000000e+00,5.027822110123375543e-01,4.986176968408521648e-01,9.124999999999999778e-01
5.000000000000000000e+00,4.811826210761397937e-01,4.761337846321732070e-01,9.250000000000000444e-01
6.000000000000000000e+00,4.623187218505540041e-01,4.565346161547019221e-01,9.250000000000000444e-01
7.000000000000000000e+00,4.457383057253842540e-01,4.393359617081863400e-01,9.250000000000000444e-01
8.000000000000000000e+00,4.310758752640223568e-01,4.241475145277012193e-01,9.250000000000000444e-01
9.000000000000000000e+00,4.180349552595096774e-01,4.106535890685895640e-01,9.250000000000000444e-01
1.000000000000000000e+01,4.063738649860346719e-01,3.985976045671650314e-01,9.250000000000000444e-01
1.100000000000000000e+01,3.958944584358521368e-01,3.877698214318985315e-01,9.250000000000000444e-01
1.200000000000000000e+01,3.864332834929876115e-01,3.779977294187049641e-01,9.250000000000000444e-01
1.300000000000000000e+01,3.778546590661023830e-01,3.691385369530577609e-01,9.250000000000000444e-01
1.400000000000000000e+01,3.700452508185199663e-01,3.610733000478604238e-01,9.250000000000000444e-01
1.500000000000000000e+01,3.629098095630074461e-01,3.537023210896265146e-01,9.250000000000000444e-01
1.600000000000000000e+01,3.563678095431979109e-01,3.469415285124957671e-01,9.250000000000000444e-01
1.700000000000000000e+01,3.503507836353259575e-01,3.407196144525030945e-01,9.250000000000000444e-01
1.800000000000000000e+01,3.448001996497085941e-01,3.349757595409020294e-01,9.250000000000000444e-01
1.900000000000000000e+01,3.396657583379013023e-01,3.296578141858108602e-01,9.250000000000000444e-01
2.000000000000000000e+01,3.349040215573345636e-01,3.247208363724464197e-01,9.250000000000000444e-01
2.100000000000000000e+01,3.304773002250410707e-01,3.201259093094836472e-01,9.250000000000000444e-01
2.200000000000000000e+01,3.263527477781871800e-01,3.158391799102988062e-01,9.250000000000000444e-01
2.300000000000000000e+01,3.225016170871718990e-01,3.118310724962988223e-01,9.250000000000000444e-01
2.400000000000000000e+01,3.188986480847940674e-01,3.080756422976854703e-01,9.250000000000000444e-01
2.500000000000000000e+01,3.155215604994731637e-01,3.045500411002503016e-01,9.250000000000000444e-01
2.600000000000000000e+01,3.123506315504135378e-01,3.012340733417762650e-01,9.250000000000000444e-01
2.700000000000000000e+01,3.093683426812847137e-01,2.981098255443545009e-01,9.250000000000000444e-01
2.800000000000000000e+01,3.065590826783250455e-01,2.951613555126458843e-01,9.250000000000000444e-01
2.900000000000000000e+01,3.039088970649787003e-01,2.923744304820211082e-01,9.250000000000000444e-01
3.000000000000000000e+01,3.014052756581340198e-01,2.897363055514501906e-01,9.250000000000000444e-01
3.100000000000000000e+01,2.990369717388078885e-01,2.872355354244897074e-01,9.250000000000000444e-01
3.200000000000000000e+01,2.967938475295459066e-01,2.848618138138121481e-01,9.250000000000000444e-01
3.300000000000000000e+01,2.946667416554737406e-01,2.826058359208593607e-01,9.250000000000000444e-01
3.400000000000000000e+01,2.926473550519486655e-01,2.804591802436068315e-01,9.250000000000000444e-01
3.500000000000000000e+01,2.907281524121657634e-01,2.784142066389382331e-01,9.250000000000000444e-01
3.600000000000000000e+01,2.889022767759716337e-01,2.764639681077448174e-01,9.250000000000000444e-01
3.700000000000000000e+01,2.871634752721763384e-01,2.746021342083716510e-01,9.250000000000000444e-01
3.800000000000000000e+01,2.855060343607250251e-01,2.728229243589851971e-01,9.250000000000000444e-01
3.900000000000000000e+01,2.839247231937610527e-01,2.711210495786351982e-01,9.250000000000000444e-01
4.000000000000000000e+01,2.824147439380545466e-01,2.694916614533776067e-01,9.250000000000000444e-01
4.100000000000000000e+01,2.809716880851101939e-01,2.679303073081525932e-01,9.250000000000000444e-01
4.200000000000000000e+01,2.795914979270856526e-01,2.664328907253364354e-01,9.250000000000000444e-01
4.300000000000000000e+01,2.782704325024967229e-01,2.649956366834910204e-01,9.250000000000000444e-01
4.400000000000000000e+01,2.770050374203723020e-01,2.636150606999740909e-01,9.250000000000000444e-01
4.500000000000000000e+01,2.757921180589024690e-01,2.622879414528692665e-01,9.250000000000000444e-01
4.600000000000000000e+01,2.746287157078107222e-01,2.610112964344715181e-01,9.250000000000000444e-01
4.700000000000000000e+01,2.735120862851744827e-01,2.597823602529774623e-01,9.250000000000000444e-01
4.800000000000000000e+01,2.724396813112459070e-01,2.585985652532493129e-01,9.250000000000000444e-01
4.900000000000000000e+01,2.714091308656444435e-01,2.574575241732991460e-01,9.250000000000000444e-01
5.000000000000000000e+01,2.704182282914452951e-01,2.563570145919016885e-01,9.250000000000000444e-01
5.100000000000000000e+01,2.694649164412799003e-01,2.552949649556664480e-01,9.250000000000000444e-01
5.200000000000000000e+01,2.685472752874987767e-01,2.542694420019306345e-01,9.250000000000000444e-01
5.300000000000000000e+01,2.676635107414796488e-01,2.532786394177752309e-01,9.250000000000000444e-01
5.400000000000000000e+01,2.668119445468992157e-01,2.523208675959608960e-01,9.250000000000000444e-01
5.500000000000000000e+01,2.659910051287498467e-01,2.513945443661705914e-01,9.250000000000000444e-01
5.600000000000000000e+01,2.651992192944924720e-01,2.504981865950816067e-01,9.250000000000000444e-01
5.700000000000000000e+01,2.644352046963514002e-01,2.496304025618452938e-01,9.250000000000000444e-01
5.800000000000000000e+01,2.636976629746730638e-01,2.487898850268351614e-01,9.250000000000000444e-01
5.900000000000000000e+01,2.629853735117395064e-01,2.479754049213061806e-01,9.250000000000000444e-01
6.000000000000000000e+01,2.622971877336569002e-01,2.471858055940930332e-01,9.250000000000000444e-01
6.100000000000000000e+01,2.616320239051065366e-01,2.464199975588693969e-01,9.250000000000000444e-01
6.200000000000000000e+01,2.609888623680037822e-01,2.456769536919264640e-01,9.250000000000000444e-01
6.300000000000000000e+01,2.603667411805800636e-01,2.449557048360622713e-01,9.250000000000000444e-01
6.400000000000000000e+01,2.597647521181981056e-01,2.442553357710982032e-01,9.250000000000000444e-01
6.500000000000000000e+01,2.591820370014191743e-01,2.435749815158620157e-01,9.250000000000000444e-01
6.600000000000000000e+01,2.586177843205400562e-01,2.429138239302731095e-01,9.250000000000000444e-01
6.700000000000000000e+01,2.580712261290820098e-01,2.422710885895112687e-01,9.250000000000000444e-01
6.800000000000000000e+01,2.575416351815886240e-01,2.416460419051945918e-01,9.250000000000000444e-01
6.900000000000000000e+01,2.570283222936338152e-01,2.410379884710983356e-01,9.250000000000000444e-01
7.000000000000000000e+01,2.565306339041962813e-01,2.404462686132517457e-01,9.250000000000000444e-01
7.100000000000000000e+01,2.560479498225515238e-01,2.398702561262878175e-01,9.250000000000000444e-01
7.200000000000000000e+01,2.555796811436093496e-01,2.393093561797372537e-01,9.250000000000000444e-01
7.300000000000000000e+01,2.551252683172027802e-01,2.387630033795669904e-01,9.250000000000000444e-01
7.400000000000000000e+01,2.546841793582409474e-01,2.382306599716987328e-01,9.250000000000000444e-01
7.500000000000000000e+01,2.542559081858938308e-01,2.377118141755221181e-01,9.250000000000000444e-01
7.600000000000000000e+01,2.538399730810982358e-01,2.372059786365589562e-01,9.250000000000000444e-01
7.700000000000000000e+01,2.534359152526762249e-01,2.367126889884563212e-01,9.250000000000000444e-01
7.800000000000000000e+01,2.530432975032597676e-01,2.362315025153999548e-01,9.250000000000000444e-01
7.900000000000000000e+01,2.526617029870162900e-01,2.357619969068607269e-01,9.250000000000000444e-01
8.000000000000000000e+01,2.522907340519006114e-01,2.353037690973212581e-01,9.250000000000000444e-01
8.100000000000000000e+01,2.519300111598037906e-01,2.348564341842910019e-01,9.250000000000000444e-01
8.200000000000000000e+01,2.515791718785614361e-01,2.344196244185160205e-01,9.250000000000000444e-01
8.300000000000000000e+01,2.512378699403098881e-01,2.339929882608217659e-01,9.250000000000000444e-01
8.400000000000000000e+01,2.509057743611563529e-01,2.335761895005160349e-01,9.250000000000000444e-01
8.500000000000000000e+01,2.505825686175622291e-01,2.331689064307115589e-01,9.250000000000000444e-01
8.600000000000000000e+01,2.502679498752263254e-01,2.327708310763264288e-01,9.250000000000000444e-01
8.700000000000000000e+01,2.499616282666116684e-01,2.323816684708764346e-01,9.250000000000000444e-01
8.800000000000000000e+01,2.496633262135757036e-01,2.320011359784976135e-01,9.250000000000000444e-01
8.900000000000000000e+01,2.493727777918594013e-01,2.316289626579324801e-01,9.250000000000000444e-01
9.000000000000000000e+01,2.490897281344505165e-01,2.312648886654789793e-01,9.250000000000000444e-01
9.100000000000000000e+01,2.488139328710793352e-01,2.309086646941446441e-01,9.250000000000000444e-01
9.200000000000000000e+01,2.485451576013237851e-01,2.305600514464697104e-01,9.250000000000000444e-01
9.300000000000000000e+01,2.482831773989981061e-01,2.302188191386830562e-01,9.250000000000000444e-01
9.400000000000000000e+01,2.480277763456840145e-01,2.298847470340389665e-01,9.250000000000000444e-01
9.500000000000000000e+01,2.477787470914261103e-01,2.295576230033500309e-01,9.250000000000000444e-01
9.600000000000000000e+01,2.475358904407683469e-01,2.292372431108840869e-01,9.250000000000000444e-01
9.700000000000000000e+01,2.472990149624434975e-01,2.289234112239325047e-01,9.250000000000000444e-01
9.800000000000000000e+01,2.470679366211575301e-01,2.286159386444861497e-01,9.250000000000000444e-01
9.900000000000000000e+01,2.468424784300249919e-01,2.283146437615714563e-01,9.250000000000000444e-01
1.000000000000000000e+02,2.466224701223198312e-01,2.280193517229056610e-01,9.250000000000000444e-01
1.010000000000000000e+02,2.464077478413019551e-01,2.277298941246315156e-01,9.250000000000000444e-01
1.020000000000000000e+02,2.461981538469720232e-01,2.274461087179786012e-01,9.250000000000000444e-01
1.030000000000000000e+02,2.459935362386878044e-01,2.271678391317837331e-01,9.250000000000000444e-01
1.040000000000000000e+02,2.457937486926514703e-01,2.268949346098791398e-01,9.250000000000000444e-01
1.050000000000000000e+02,2.455986502133490623e-01,2.266272497624261528e-01,9.250000000000000444e-01
1.060000000000000000e+02,2.454081048980852886e-01,2.263646443303382882e-01,9.250000000000000444e-01
1.070000000000000000e+02,2.452219817138174829e-01,2.261069829619962446e-01,9.250000000000000444e-01
1.080000000000000000e+02,2.450401542855477621e-01,2.258541350015129401e-01,9.250000000000000444e-01
1.090000000000000000e+02,2.448625006955820749e-01,2.256059742878572527e-01,9.250000000000000444e-01
1.100000000000000000e+02,2.446889032930125996e-01,2.253623789641918673e-01,9.250000000000000444e-01
1.110000000000000000e+02,2.445192485128209192e-01,2.251232312968247662e-01,9.250000000000000444e-01
1.120000000000000000e+02,2.443534267040441410e-01,2.248884175032127009e-01,9.250000000000000444e-01
1.130000000000000000e+02,2.441913319664766324e-01,2.246578275884931197e-01,9.250000000000000444e-01
1.140000000000000000e+02,2.440328619954203748e-01,2.244313551900557202e-01,9.250000000000000444e-01
1.150000000000000000e+02,2.438779179340247460e-01,2.242088974296946591e-01,9.250000000000000444e-01
1.160000000000000000e+02,2.437264042327884073e-01,2.239903547729148181e-01,9.250000000000000444e-01
1.170000000000000000e+02,2.435782285158209493e-01,2.237756308949905848e-01,9.250000000000000444e-01
