epoch,train_loss,val_loss,val_accuracy
0.000000000000000000e+00,2.232298722024031790e+00,2.232055798628056476e+00,2.873239436619718368e-01
1.000000000000000000e+00,2.075073968193805740e+00,2.073131318593916195e+00,4.000000000000000222e-01
2.000000000000000000e+00,1.934423275541634624e+00,1.930679242281170271e+00,5.605633802816901712e-01
3.000000000000000000e+00,1.807288479350769084e+00,1.802163257871747915e+00,6.901408450704225039e-01
4.000000000000000000e+00,1.692487110560598307e+00,1.685652610797206741e+00,7.633802816901408272e-01
5.000000000000000000e+00,1.588304935810031848e+00,1.580362138487882318e+00,8.000000000000000444e-01
6.000000000000000000e+00,1.494481417942289392e+00,1.485571336950269661e+00,8.197183098591549477e-01
7.000000000000000000e+00,1.409574145360725339e+00,1.399489788873344187e+00,8.478873239436619524e-01
8.000000000000000000e+00,1.332995510334849865e+00,1.321801460858693211e+00,8.535211267605633534e-01
9.000000000000000000e+00,1.263832062820408497e+00,1.251747668514207046e+00,8.647887323943661553e-01
1.000000000000000000e+01,1.201187557683298657e+00,1.187983830975107624e+00,8.704225352112675562e-01
1.100000000000000000e+01,1.144285847005637624e+00,1.130697187751930288e+00,8.676056338028168557e-01
1.200000000000000000e+01,1.092684987182932943e+00,1.078662447665789559e+00,8.816901408450704691e-01
1.300000000000000000e+01,1.045490001211446529e+00,1.031249603229835721e+00,8.788732394366197687e-01
1.400000000000000000e+01,1.002414064266251570e+00,9.876531994802358883e-01,8.845070422535211696e-01
1.500000000000000000e+01,9.631954292294054865e-01,9.481496516768344041e-01,8.901408450704225706e-01
1.600000000000000000e+01,9.269971953393000286e-01,9.114781016300992356e-01,8.901408450704225706e-01
1.700000000000000000e+01,8.937026793915900935e-01,8.780937871164089525e-01,8.901408450704225706e-01
1.800000000000000000e+01,8.630263990062508883e-01,8.470750592496878451e-01,8.985915492957746720e-01
1.900000000000000000e+01,8.346185811446308334e-01,8.184603246180501834e-01,8.957746478873239715e-01
2.000000000000000000e+01,8.083109324968174025e-01,7.923280405174091268e-01,9.070422535211267734e-01
2.100000000000000000e+01,7.838939562263922411e-01,7.678013369416024636e-01,9.098591549295774739e-01
2.200000000000000000e+01,7.611512846452291869e-01,7.448513399865145379e-01,9.098591549295774739e-01
2.300000000000000000e+01,7.399879673205327357e-01,7.236221783204853653e-01,9.098591549295774739e-01
2.400000000000000000e+01,7.202173685807370385e-01,7.039428365946608368e-01,9.070422535211267734e-01
2.500000000000000000e+01,7.016160331572934838e-01,6.854079174168801192e-01,9.098591549295774739e-01
2.600000000000000000e+01,6.841702819367145860e-01,6.682599812673074569e-01,9.154929577464788748e-01
2.700000000000000000e+01,6.677822359642169303e-01,6.519587889531039959e-01,9.154929577464788748e-01
2.800000000000000000e+01,6.523516332402304885e-01,6.362927988333513252e-01,9.154929577464788748e-01
2.900000000000000000e+01,6.378018572646164674e-01,6.221237872719272977e-01,9.154929577464788748e-01
3.000000000000000000e+01,6.240161610282793925e-01,6.082494670410446558e-01,9.154929577464788748e-01
3.100000000000000000e+01,6.110139846420553633e-01,5.953311916440106044e-01,9.154929577464788748e-01
3.200000000000000000e+01,5.986587668205590740e-01,5.830614686411713654e-01,9.183098591549295753e-01
3.300000000000000000e+01,5.869267414235417313e-01,5.712412316976949178e-01,9.183098591549295753e-01
3.400000000000000000e+01,5.758122305608446290e-01,5.603854297844215182e-01,9.183098591549295753e-01
3.500000000000000000e+01,5.652434034852561462e-01,5.499632819891296931e-01,9.183098591549295753e-01
3.600000000000000000e+01,5.552188667943941391e-01,5.397511386747888551e-01,9.211267605633802757e-01
3.700000000000000000e+01,5.455495853976319864e-01,5.304590879525410418e-01,9.211267605633802757e-01
3.800000000000000000e+01,5.363747045228250965e-01,5.213275331857681882e-01,9.211267605633802757e-01
3.900000000000000000e+01,5.275860494284998481e-01,5.126751774731823641e-01,9.267605633802816767e-01
4.000000000000000000e+01,5.191921824528320517e-01,5.043576473166767604e-01,9.267605633802816767e-01
4.100000000000000000e+01,5.111545099625394162e-01,4.964556077892181563e-01,9.267605633802816767e-01
4.200000000000000000e+01,5.034369269063824204e-01,4.888064174881773249e-01,9.267605633802816767e-01
4.300000000000000000e+01,4.960667241123402627e-01,4.814509277624550165e-01,9.267605633802816767e-01
4.400000000000000000e+01,4.889618224975746941e-01,4.745588032694372793e-01,9.267605633802816767e-01
4.500000000000000000e+01,4.821243416044748153e-01,4.678164335003678342e-01,9.267605633802816767e-01
4.600000000000000000e+01,4.755389051432087899e-01,4.614604334183032286e-01,9.267605633802816767e-01
4.700000000000000000e+01,4.692228460189681871e-01,4.552405079787656961e-01,9.267605633802816767e-01
4.800000000000000000e+01,4.631314001412013548e-01,4.492792206308780512e-01,9.267605633802816767e-01
